"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations Impact on unit price","Combinations wholesale price","Unit price (per)","Product Combinations ID","Product ID"
"Canvas - Carried Away","A13042-1","0","0.00","0.00","325.00","0.00","0.00","","1846","779"
"Canvas - Carried Away","A13042-1","0","0.00","0.00","325.00","0.00","0.00","","1847","779"
"Canvas - Carried Away","A13042-1","0","0.00","0.00","325.00","0.00","0.00","","1848","779"
"Canvas - Carried Away","A13042-1","1","0.00","0.00","250.00","0.00","0.00","","7728","779"
"Canvas - The Forest Temple","A17065-1","1","0.00","0.00","445.00","0.00","0.00","","1849","793"
"Canvas - The Forest Temple","A17065-1","0","0.00","0.00","545.00","0.00","0.00","","1850","793"
"Canvas - The Forest Temple","A17065-1","0","0.00","0.00","545.00","0.00","0.00","","1851","793"
"Canvas - The Forest Temple","A17065-1","0","0.00","0.00","545.00","0.00","0.00","","1852","793"
"Canvas - Motter Love","A17064-1","2","0.00","0.00","235.00","0.00","0.00","","1869","794"
"Canvas - Motter Love","A17064-1","0","0.00","0.00","315.00","0.00","0.00","","1870","794"
"Canvas - Motter Love","A17064-1","0","0.00","0.00","315.00","0.00","0.00","","1871","794"
"Canvas - Motter Love","A17064-1","0","0.00","0.00","315.00","0.00","0.00","","1872","794"
"Canvas - Depth","A17063-1","0","0.00","0.00","345.00","0.00","0.00","","1509","795"
"Canvas - Depth","A17063-1","0","0.00","0.00","345.00","0.00","0.00","","1510","795"
"Canvas - Depth","A17063-1","0","0.00","0.00","345.00","0.00","0.00","","1511","795"
"Canvas - Depth","A17063-1","0","0.00","0.00","295.00","0.00","295.00","","1512","795"
"Canvas - Depth","A17063-1","1","0.00","0.00","495.00","0.00","0.00","","6668","795"
"Canvas - All my Relations","A20067-1","0","0.00","0.00","325.00","0.00","0.00","","7718","4086"
"Canvas - All my Relations","A20067-1","0","0.00","0.00","425.00","0.00","0.00","","7720","4086"
"Canvas - All my Relations","A20067-1","0","0.00","0.00","425.00","0.00","0.00","","7721","4086"
"Canvas - All my Relations","A20067-1","0","0.00","0.00","425.00","0.00","0.00","","7722","4086"
"Canvas - Refuge","A20055-1","0","0.00","0.00","425.00","0.00","0.00","","7789","4144"
"Canvas - Refuge","A20055-1","0","0.00","0.00","425.00","0.00","0.00","","7790","4144"
"Canvas - Refuge","A20055-1","0","0.00","0.00","425.00","0.00","0.00","","7791","4144"
"Canvas - Refuge","A20055-1","0","0.00","0.00","325.00","0.00","0.00","","7792","4144"
"Canvas - Refuge","A20055-1","1","0.00","0.00","695.00","0.00","0.00","","7793","4144"
"Canvas - Refuge","A20055-1","0","0.00","0.00","825.00","0.00","0.00","","7806","4144"
"Canvas - Refuge","A20055-1","0","0.00","0.00","825.00","0.00","0.00","","7807","4144"
"Canvas - Refuge","A20055-1","0","0.00","0.00","825.00","0.00","0.00","","7808","4144"
"Canvas - Seed of Life","A18061-1","0","0.00","0.00","435.00","0.00","0.00","","7794","4145"
"Canvas - Seed of Life","A18061-1","0","0.00","0.00","435.00","0.00","0.00","","7795","4145"
"Canvas - Seed of Life","A18061-1","0","0.00","0.00","435.00","0.00","0.00","","7796","4145"
"Canvas - Seed of Life","A18061-1","0","0.00","0.00","335.00","0.00","0.00","","7797","4145"
"Canvas - Under the Same Sky","A18066-1","0","0.00","0.00","395.00","0.00","0.00","","7798","4146"
"Canvas - Under the Same Sky","A18066-1","0","0.00","0.00","395.00","0.00","0.00","","7799","4146"
"Canvas - Under the Same Sky","A18066-1","0","0.00","0.00","395.00","0.00","0.00","","7800","4146"
"Canvas - Under the Same Sky","A18066-1","1","0.00","0.00","295.00","0.00","0.00","","7801","4146"
